Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Facebook,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Similar Companies,Trend Score (90 Days),Patents Granted,Most Popular Patent Class,Trademarks Registered,Most Popular Trademark Class,Diversity Spotlight
Envision Group,https://www.crunchbase.com/organization/envision-energy,,"Consumer Electronics, Electrical Distribution, Energy, Internet, ISP, Renewable Energy","Shanghai, Shanghai, China",Envision is a global energy internet service provider.,"1,259",Asia-Pacific (APAC),200000,$100M to $500M,Active,2007-01-01,year,,,,,For Profit,http://www.envision-group.com/,https://www.linkedin.com/company/envision-energy,https://www.facebook.com/envisioncn,globalsales@envision-energy.net,(832)879-235,Envision is a global energy internet service provider.,Venture Capital,,3.0,3.0,1.0,,2.0,,,,,"Consumer Electronics, Energy, Hardware, Internet Services, Sustainability",2.0,"Allan To, Lei Zhang",1001-5000,2.0,Early Stage Venture,2023-10-29,7318000000.0,CNY,1020826649.0,Series B,7318000000.0,CNY,1020826649.0,Series B,2020826649.0,USD,2020826649.0,2020826649.0,USD,2020826649.0,"HSG, GIC, Primavera Capital Group",3.0,3.0,2.0,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,12.0,4.3,55.0,"Wind, Spring Weight And Miscellaneous Motors; Producing Mechanical Power; Or A Reactive Propulsive Thrust, Not Otherwise Provided For",16.0,Scientific and technological services,
Satispay,https://www.crunchbase.com/organization/satispay,,"Banking, Financial Services, FinTech, Mobile Payments, Payments","Milan, Lombardia, Italy",Satispay is a fintech company that provides a bank account enabled mobile payment platform.,"3,402","European Union (EU), Europe, Middle East, and Africa (EMEA)",20159,$100M to $500M,Active,2013-01-01,year,,,,,For Profit,http://www.satispay.com,http://www.linkedin.com/company/satispay,http://www.facebook.com/satispay,press@satispay.com,,"Satispay is a thriving European payment network with the goal to change the way people pay in stores and online, and exchange money between friends. Launched in 2015, Satispay is independent from debit and credit cards. Easy and cost-convenient for businesses–who can accept payments from clients with a click on their smartphone, tablet, or pc–Satispay is also a simple and secure app for consumers, simplifying the way they pay, as well as a range of other services.",,,,,,,,,,,,"Financial Services, Lending and Investments, Mobile, Payments, Software",3.0,"Alberto Dalmasso, Dario Brignone, Samuele Pinta",501-1000,11.0,,2024-11-11,60000000.0,EUR,63978913.0,Venture - Series Unknown,60000000.0,EUR,63978913.0,Venture - Series Unknown,532335173.0,USD,532335173.0,533155173.0,USD,533155173.0,"Coatue, Endeavor Catalyst, Lightrock, Tencent, Addition",7.0,26.0,2.0,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,33.0,-1.4,0.0,,5.0,Advertising; business,
Balance,https://www.crunchbase.com/organization/balance-98c2,,"B2B, E-Commerce, FinTech, Payments","Tel Aviv, Tel Aviv, Israel",Balance is a digital payments platform designed to make the B2B online purchasing experience delightful for buyers and vendors alike.,"3,973","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",,$1M to $10M,Active,2020-01-01,year,,,,,For Profit,https://www.getbalance.com,https://www.linkedin.com/company/getbalance,https://www.facebook.com/GetBalanceHQ,hello@getbalance.com,,"Balance is a digital payments platform designed to make the B2B online purchasing experience delightful for buyers and vendors alike. The company was founded in 2019 by Bar Geron and Yoni Shuster and is headquartered in Tel Aviv, Israel.",,,,,,,,,,,,"Commerce and Shopping, Financial Services, Other, Payments",2.0,"Bar Geron, Yoni Shuster",51-100,5.0,Early Stage Venture,2022-11-22,350000000.0,USD,350000000.0,Debt Financing,56000000.0,USD,56000000.0,Series B,81000000.0,USD,81000000.0,431000000.0,USD,431000000.0,"Y Combinator, Forerunner, Lightspeed Venture Partners, Salesforce Ventures, HubSpot Ventures",3.0,19.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4.0,5.8,,,,,
Paladin,https://www.crunchbase.com/organization/paladin-2,,"Information Technology, Internet, Legal, Professional Services","New York, New York, United States",Paladin creates an easy way for lawyers to find cases they’re passionate about and to capture impact data for the benefit of all.,"4,318","Greater New York Area, East Coast, Northeastern US",10017,$10M to $50M,Active,2015-01-01,year,,,,,For Profit,https://www.joinpaladin.com/,https://www.linkedin.com/company/paladin-pbc/,https://www.facebook.com/PaladinPBC,team@joinpaladin.com,(646)875-8178,"Paladin creates an easy way for lawyers to find cases they’re passionate about and to capture impact data for the benefit of all. It helps legal teams sign up for pro bono opportunities, enables coordinators to track the lawyers’ work, and which captures some of the stories and impact that the lawyers are making through their efforts. Paladin was founded in 2015 and is headquartered in New York, USA.",,,,,,,,,,,,"Information Technology, Internet Services, Other, Professional Services",2.0,"Felicity Conrad, Kristen Sonday",1-10,9.0,Early Stage Venture,2022-05-03,8000000.0,USD,8000000.0,Series A,8000000.0,USD,8000000.0,Series A,9100000.0,USD,9100000.0,9900000.0,USD,9900000.0,"Techstars, C2 Ventures, VamosVentures, Hyde Park Venture Partners, Harlem Capital",2.0,22.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8.0,4.5,,,,,
Eve,https://www.crunchbase.com/organization/eve-f25a,,"Artificial Intelligence (AI), Legal, Legal Tech","San Francisco, California, United States",Eve is a legal tech platform designed to assist plaintiff law firms at every phase of a legal case.,"6,154","San Francisco Bay Area, West Coast, Western US",94025,$1M to $10M,Active,2020-01-01,year,,,,,For Profit,https://www.eve.legal,https://www.linkedin.com/company/eve-legal/posts,,,,"Eve is a legal AI platform designed to assist law firms throughout the entire case lifecycle, from intake to litigation. The platform automates tasks such as case evaluation, document drafting, and discovery responses, enabling lawyers to focus on delivering better results for clients. By streamlining processes and enhancing efficiency, Eve empowers firms to manage complex cases effectively and grow without the typical challenges associated with scaling.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",3.0,"David Zeng, Jay Madheswaran, Matt Noe",11-50,2.0,Early Stage Venture,2025-01-16,47000000.0,USD,47000000.0,Series A,47000000.0,USD,47000000.0,Series A,61000000.0,USD,61000000.0,61000000.0,USD,61000000.0,"Andreessen Horowitz, Menlo Ventures, Lightspeed Venture Partners",3.0,3.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8.0,-0.8,,,,,
D-Orbit,https://www.crunchbase.com/organization/d-orbit,,"Aerospace, Automotive, Fleet Management, Information Technology, Software, Transportation","Milan, Lombardia, Italy","D-Orbit is the first in-space transportation company, providing solutions for moving, precise deployment and removing satellites.","6,631","European Union (EU), Europe, Middle East, and Africa (EMEA)",20123,Less than $1M,Active,2011-03-01,day,,,,,For Profit,https://www.dorbit.space,https://www.linkedin.com/company/2394473,https://www.facebook.com/deorbitaldevices,info@deorbitaldevices.com,+390236714010,"D-Orbit is an Italian New Space company providing solutions for satellite design, development, launch, commissioning and decommissioning. Founded in 2011, D-Orbit currently employs approximately 35 people. The firm is based in Milan, Italy with subsidiaries in Washington, DC, and Lisbon, Portugal.  D-Orbit's business model revolves around products and services that are profitable, create value for the customer, and have a proven social benefit and a positive impact on the environment. To do so, we look for ways to streamline every phase of a satellite mission with components and services that simplify spacecraft design, increase reliability, improve the use of mission resources, reduce operational costs, and extend the revenue-generating phase of a space mission.",,,,,,,,,,,,"Information Technology, Science and Engineering, Software, Transportation",4.0,"Giuseppe Tussiwand, Luca Rossettini, Renato Panesi, Thomas Panozzo",251-500,13.0,Late Stage Venture,2024-12-23,,,,Grant,50000000.0,EUR,55857496.0,Series C,180092838.0,USD,180092838.0,197880572.0,USD,197880572.0,"CDP Venture Capital, Department for Science, Innovation and Technology (DSIT), Seraphim Space, MassChallenge, Neva SGR",9.0,28.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,16.0,-0.3,2.0,Aircraft; Aviation; Cosmonautics,0.0,,
Nimble Robotics,https://www.crunchbase.com/organization/nimble-ai,,"Artificial Intelligence (AI), Industrial Automation, Logistics, Robotics, Software, Supply Chain Management, Warehousing","San Francisco, California, United States","Nimble Robotics is an AI robotics and e-commerce fulfillment technology company, automating the processes of picking and packing products.","7,008","San Francisco Bay Area, West Coast, Western US",94103,$10M to $50M,Active,2017-01-01,year,,,,,For Profit,https://nimble.ai,https://www.linkedin.com/company/nimble-robotics,,info@nimble.ai,,"Nimble Robotics specializes in AI-driven robots that automate the processes of picking and packing products, significantly enhancing efficiency in logistics. The company provides a complete eCommerce and omni-channel fulfillment service, allowing merchants to streamline their operations.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software, Transportation",1.0,Simon Kalouche,101-250,4.0,Late Stage Venture,2024-10-23,106000000.0,USD,106000000.0,Series C,106000000.0,USD,106000000.0,Series C,221000000.0,USD,221000000.0,221000000.0,USD,221000000.0,"Accel, GSR Ventures, FedEx, Breyer Capital, DNS Capital",4.0,12.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,7.0,-0.8,28.0,Hand Tools; Portable Power-Driven Tools; Manipulators,6.0,Machines and machine tools,
Aurora,https://www.crunchbase.com/organization/aurora-6292,,"Automotive, Autonomous Vehicles, Electric Vehicle, Transportation","Pittsburgh, Pennsylvania, United States","Aurora is building self-driving technology to operate multiple vehicle types, from freight-hauling trucks to ride-hailing passenger ones.","7,309","Great Lakes, Northeastern US",15222,,Active,2017-01-01,year,2021-11-04,day,,,For Profit,https://aurora.tech,https://www.linkedin.com/company/aurora-inc.,https://www.facebook.com/auroracareers,press@aurora.tech,(888) 583-9506,"Aurora is a self-driving vehicle company providing a platform that brings software and data services to operate passenger vehicles. To move both people and goods, the company develops Aurora Driver, a platform that brings together software, hardware, and data services to operate passenger vehicles, light commercial vehicles, and heavy-duty trucks. Aurora is backed by Amazon and Sequoia, among others, and partners with industry leaders including Toyota, Uber, Volvo, and Paccar. Aurora tests its vehicles in the Bay Area, Pittsburgh, and Dallas. The company has offices in those areas as well as in Bozeman, MT; Seattle, WA; Louisville, CO; and Wixom, MI.",,,1.0,1.0,,,,,,,,Transportation,3.0,"Chris Urmson, J. Andrew Bagnell, Sterling Anderson",1001-5000,9.0,IPO,2024-08-01,483000000.0,USD,483000000.0,Post-IPO Equity,483000000.0,USD,483000000.0,Post-IPO Equity,4193000000.0,USD,4193000000.0,4193000000.0,USD,4193000000.0,"Sequoia Capital, Index Ventures, Lightspeed Venture Partners, Amazon, Uber",4.0,22.0,3.0,Made Acquisitions,,,,,,,,,,,,Public,2021-11-04,,,977500000.0,USD,977500000.0,14000000000.0,USD,14000000000.0,AUR,https://www.crunchbase.com/ipo/aurora-6292-ipo--eda026be,NASDAQ,29.0,7.3,956.0,,11.0,Scientific and electric apparatus and instruments,
Dorian,https://www.crunchbase.com/organization/dorian,,"Apps, Mobile Apps, News","San Francisco, California, United States",Dorian is a no-code platform that allows writers to turn fiction into interactive visual games and generate revenue from their content.,"7,348","San Francisco Bay Area, West Coast, Western US",,$1M to $10M,Active,2018-10-01,month,,,,,For Profit,https://dorian.live/,https://www.linkedin.com/company/dorian-stories/,https://www.facebook.com/dorian.stories/,,,"Dorian is a developer of a no-code platform designed to allow users to turn their story into a game, play with friends, and monetize it. The platform enables writers to design characters and backgrounds by choosing from a variety of visual assets or upload assets of their own while using a flowchart-style interface, thereby allowing writers to truly connect with their fans and offer personalized interactive content. The company was founded in 2018 and is headquartered in San Francisco, California.",,,,,,,,,,,,"Apps, Content and Publishing, Media and Entertainment, Mobile, Software",2.0,"Jordan Lee, Julia Palatovska",11-50,3.0,Early Stage Venture,2022-03-17,14000000.0,USD,14000000.0,Series A,14000000.0,USD,14000000.0,Series A,19250000.0,USD,19250000.0,19250000.0,USD,19250000.0,"Gaingels, Konvoy, vgames, The Raine Group, March Capital",2.0,18.0,1.0,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,7.0,-2.6,,,,,
Nutrix,https://www.crunchbase.com/organization/nutrix,,"Health Care, SaaS","Basel, Basel-Stadt, Switzerland",High-Impact Preventive Healthcare That Works,"8,171","Europe, Middle East, and Africa (EMEA)",,,Active,2020-01-01,year,,,,,For Profit,http://nutrix.tech,https://www.linkedin.com/company/nutrix-tech,,,,"Nutrix is an award-winning Swiss health-tech innovator that combines the power of AI with wearables and human care to provide cost-effective prevention and healthcare programs that work. In 2025, the company is expanding its offering with CortiSense, the first Swiss non-invasive cortisol monitoring sensor, CES Innovation Award Winner.",,,,,,,,,,,,"Health Care, Software",3.0,"Jemish Parmar, Maria Hahn, Maria Hahn",11-50,9.0,Seed,2024-07-01,,,,Seed,,,,Seed,3406276.0,USD,3406276.0,3515957.0,USD,3515957.0,"Lifetime Ventures, Venture Kick, Simpact Ventures, CORFO, Chile Ventures",4.0,6.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,47.0,-0.7,,,,,
