Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Facebook,LinkedIn,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Diversity Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Trend Score (90 Days),Similar Companies,Patents Granted,Trademarks Registered,Most Popular Patent Class,Most Popular Trademark Class
Ensysce Biosciences,https://www.crunchbase.com/organization/ensysce-biosciences,,"Biotechnology, Health Care, Medical, Pharmaceutical","La Jolla, California, United States",Ensysce Biosciences is a clinical-stage pharmaceutical company that provides prescription drugs aimed at severe pain relief.,437,"Greater San Diego Area, West Coast, Western US",92037,$1M to $10M,Active,2008-01-01,year,2021-06-30,day,,,For Profit,http://www.ensysce.com,https://www.facebook.com/ensyscebio,https://www.linkedin.com/company/ensyscebio,info@ensysce.com,(858)-263-4196,"Ensysce Biosciences develops oral drug delivery technologies targeting opioid misuse and overdose. Its Trypsin-Activated Abuse Protection (TAAP™) platform activates medications only upon ingestion, minimizing abuse through non-oral routes. The Multi-Pill Abuse Resistance (MPAR®) system adds a safeguard against overdose by inhibiting drug activation when excessive doses are consumed. These platforms are applied to treatments for severe pain and opioid use disorder, including PF614 and PF9001. Ensysce's approach has received recognition from the FDA, with TAAP™ designated as a Fast Track development and MPAR® as a Breakthrough Therapy. The company is also exploring the use of nafamostat, a component of its overdose protection products, for treating infections and pulmonary diseases. Its pipeline includes clinical and preclinical programs focused on enhancing the safety of prescription medications. Ensysce’s products are anticipated to provide safer options to treat severe pain and assist in preventing deaths caused by opioid abuse, reducing human and economic costs. The platforms are covered by an extensive worldwide intellectual property portfolio for a wide array of prescription drug compositions.",,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",1,Bob Gower,11-50,13,IPO,2025-06-04,5300000,USD,5300000,Grant,2200000,USD,2200000,Post-IPO Equity,68800000,USD,68800000,143585000,USD,143585000,"National Institutes of Health, The Global Emerging Markets Group, National Institute on Drug Abuse (NIDA), Texas Wide Open for Business",4,4,1,Made Acquisitions,,,,,,,,,,,,Public,2021-06-30,,,,,,,,,ENSC,https://www.crunchbase.com/ipo/ensysce-biosciences-ipo--729eb481,NASDAQ,8.9,8,10,1,Medical Or Veterinary Science; Hygiene,"Pharmaceutical, veterinary and sanitary products"
Lighthouse,https://www.crunchbase.com/organization/lighthouse-ltd,,"Analytics, Business Intelligence, Hospitality, Hotel, Information Technology, SaaS, Software","London, England, United Kingdom",Lighthouse is a commercial platform for the travel & hospitality industry.,879,"Europe, Middle East, and Africa (EMEA)",WC2R 1EA,$100M to $500M,Active,2012-01-01,year,,,,,For Profit,https://www.mylighthouse.com,https://www.facebook.com/lighthouse.intel,https://www.linkedin.com/company/lighthouseintelligence,info@otainsight.com,,"Lighthouse is a commercial platform for the travel & hospitality industry. The company transforms complexity into confidence by providing actionable market insights, business intelligence, and pricing tools that maximize revenue growth. Lighthouse was previously known as OTA Insight.",,,,,,,,,,,,"Data and Analytics, Information Technology, Software, Travel and Tourism",3,"Adriaan Coppens, Gino Engels, Matthias Geeroms",501-1000,7,Late Stage Venture,2024-11-21,370000000,USD,370000000,Series C,370000000,USD,370000000,Series C,470000000,USD,470000000,470000000,USD,470000000,"Spectrum Equity, F-Prime Capital, Kohlberg Kravis Roberts, Eight Roads Ventures, Venrex",4,8,5,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,6.5,16,0,4,,Advertising; business
SEON,https://www.crunchbase.com/organization/seon-security,,"Fraud Detection, Identity Management, Machine Learning, Network Security","Budapest, Budapest, Hungary",SEON is an online fraud prevention platform that detects and stops fraud in real-time through transactional data analysis.,"1,706","European Union (EU), Europe, Middle East, and Africa (EMEA)",1072,$10M to $50M,Active,2017-01-01,year,,,,,For Profit,https://seon.io,,https://www.linkedin.com/company/seon-tech,info@seon.io,+44 20 8089 2900,"SEON is a fraud prevention startup developing a fraud detection software to detect fraud in real-time through transactional data analysis. Its software uses machine learning and human intelligence algorithms to collect information about transactions and customers associated, integrates with a device fingerprinting module, and combines email verification and IP address analysis features to detect and report transactional and behavioral fraud patterns. It also allows businesses to detect and eliminate fraudulent activities and maintain data security. Founded in 2017, the company is based in Budapest, Hungary with commercial headquarters in London, UK.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Payments, Privacy and Security, Software",2,"Bence Jendruszak, Tamas Kadar",251-500,6,Early Stage Venture,2022-04-19,94000000,USD,94000000,Series B,94000000,USD,94000000,Series B,107823964,USD,107823964,107823964,USD,107823964,"Creandum, IVP, VentureOut, PortfoLion Capital Partners, Discovery Ventures",3,14,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.6,42,0,1,,Scientific and electric apparatus and instruments
Greenlight,https://www.crunchbase.com/organization/greenlight-com,,"Banking, Debit Cards, Financial Services, FinTech, Mobile Apps","Atlanta, Georgia, United States",Greenlight is a debit card and money app that provides an all-in-one money management platform for families and parents.,"1,732","Greater Atlanta Area, East Coast, Southern US",30308,$10M to $50M,Active,2014-01-01,year,,,,,For Profit,https://greenlight.com/,https://www.facebook.com/GreenlightCard,https://www.linkedin.com/company/greenlightcard,support@greenlight.com,+1 888-483-2645,"Greenlight is a debit card and money app that provides an all-in-one money management platform for families and parents. Millions of parents and kids use Greenlight to earn, save, spend wisely, give, and invest. Parents can set flexible spending controls, manage chores, automate allowances, and invest for their kids’ futures. It offers up to 3% unlimited cash back on all purchases and gives parents the option to automatically invest those cash rewards in stocks and ETFs to spend on family-related expenses. Greenlight was founded in 2014 and is based in Atlanta, GA.",,,,,,,,,,,,"Apps, Financial Services, Lending and Investments, Mobile, Payments, Software",2,"Johnson Cook, Timothy Sheehan",251-500,6,Late Stage Venture,2021-04-27,260000000,USD,260000000,Series D,260000000,USD,260000000,Series D,556500000,USD,556500000,556500000,USD,556500000,"Andreessen Horowitz, Wellington Management, New Enterprise Associates, Goodwater Capital, Bond",5,19,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4.8,19,,,,
Quid,https://www.crunchbase.com/organization/quid,,"Analytics, Artificial Intelligence (AI), Big Data, Data Visualization, Machine Learning, Natural Language Processing, SaaS, Software, Text Analytics","San Francisco, California, United States","Quid powers human intuition with machine intelligence, enabling organizations to make decisions that matter.","3,415","San Francisco Bay Area, West Coast, Western US",94107,$10M to $50M,Active,2004-01-01,year,2020-01-28,day,,,For Profit,https://quid.com,http://www.facebook.com/Quid.Inc,http://www.linkedin.com/companies/quid_2,hi@quid.com,(415)971-1698,"Quid is a platform that searches, analyzes and visualizes the world’s collective intelligence to help answer strategic questions. It draws connections between big ideas, giving your brain more power than you ever dreamed possible. Quid software technology specializes in the analysis of text-based data. The product utilizes implicit network analysis and graph theory to create advanced interactive visualizations. Quid proprietary algorithms employ artificial intelligence and Natural Language Processing to quickly find insights across millions of data points. The company’s goal is to allow non-technical users in enterprise organizations to independently access the world’s high-value information for unique and shareable insights. Quid users have access to proprietary data sets (e.g. news articles, blog posts, company profiles, and patents) and can also bring their own data. On January 28, 2020, Quid merged with the social media analytics company, Netbase Solutions. The combined company joined forces under a collective name, Netbase Quid.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software",3,"Bob Goodson, Kirill Makharinsky, Sean Gourley",101-250,6,M&A,2018-10-29,37500000,USD,37500000,Series E,37500000,USD,37500000,Series E,104660000,USD,104660000,108160000,USD,108160000,"Founders Fund, Salesforce Ventures, Artis Ventures, SV Angel, Atomico",2,19,,Was Acquired,Quid acquired by Netbase Quid,https://www.crunchbase.com/acquisition/netbase-quid-acquires-quid--8eb8bab4,Netbase Quid,https://www.crunchbase.com/organization/netbase-quid,2020-01-28,day,,,,Merger,,Private,,,,,,,,,,,,,-1.7,9,9,1,Computing; Calculating,Advertising; business
Aave,https://www.crunchbase.com/organization/ethlend,,"Cryptocurrency, Decentralized Finance (DeFi), Finance, Financial Services, FinTech, Open Source, Peer to Peer, Software, Venture Capital, Web3","London, England, United Kingdom",Aave is an open source non-custodial protocol on Ethereum for decentralized lending and borrowing.,"5,938","Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2017-05-01,day,,,,,For Profit,https://www.aave.com,https://www.facebook.com/AaveWow,https://www.linkedin.com/company/aaveaave/,wow@aave.com,,"Aave (from the Finnish word for ""ghost"") is an open source non-custodial protocol on Ethereum for decentralized lending and borrowing. For lenders, the protocol mints ERC20-compliant aTokens at a 1:1 ratio to supplied assets. Interest immediately starts compounding continuously, represented by a steady increase in the amount of aTokens held by the lender. This interest stream may be redirected to any address, separate from the aTokens that represent the underlying principal. Aave offers flash loans: trustless, uncollateralized loans where borrowing and repayment must occur in the same transaction. Aimed at developers, this feature could lead to innovative uses of DeFi.",Private Equity Firm,Non Equity Assistance,9,9,,1,,,,,,"Blockchain and Cryptocurrency, Financial Services, Internet Services, Lending and Investments, Other, Payments, Software",1,Stani Kulechov,101-250,10,,2023-08-04,,,,Secondary Market,,,,Venture - Series Unknown,49000000,USD,49000000,49000000,USD,49000000,"Google, Samsung Electronics, IBM, Blockchain Capital, Framework Ventures",6,20,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.1,98,,,,
Umbrella,https://www.crunchbase.com/organization/umbrella-7e35,,"Elderly, Home Services, Task Management","Brooklyn, New York, United States",Umbrella provides a task management platform intended to connect senior citizens with workers.,"5,977","Greater New York Area, East Coast, Northeastern US",11215,$1M to $10M,Closed,2017-01-01,year,2021-01-10,day,2021-01-08,day,For Profit,https://askumbrella.com/,https://www.facebook.com/askumbrella/,https://www.linkedin.com/company/askumbrella/,hello@askumbrella.com,(844) 402-2480,"Umbrella provides a task management platform intended to connect senior citizens with workers to do small temporary jobs around the house. The company's platform connects users with community members to help with everyday home chores and maintenance and handles tasks like carpentry, changing light bulbs and light fixtures, fixing leaky faucets, assembling furniture, cleaning gutters, hanging picture frames, installing grab bars, installing and removing air conditioners and unclogging drains, enabling seniors to stay and live in their own homes happily.",,,,,,,,,,,,"Community and Lifestyle, Real Estate, Software",3,"Lindsay Ullman, Ron Byrne, Sam Gerstenzang",11-50,1,M&A,2019-07-12,5000000,USD,5000000,Seed,5000000,USD,5000000,Seed,5000000,USD,5000000,5000000,USD,5000000,"BoxGroup, Thrive Capital, TMV, Maveron, Inspired Capital Partners",1,13,,Was Acquired,Umbrella acquired by ANGI Homeservices,https://www.crunchbase.com/acquisition/angi-homeservices-acquires-umbrella-7e35--94ffe48c,ANGI Homeservices,https://www.crunchbase.com/organization/angi-homeservices,2021-01-10,day,,,,Acquisition,,Private,,,,,,,,,,,,,7.9,7,0,1,,Building; repairs
Synapse,https://www.crunchbase.com/organization/synapsefi,,"Banking, Finance, Financial Services, FinTech, Payments, Security, Software","San Francisco, California, United States",Synapse is a banking platform that enables companies to provide financial products to their customers.,"6,112","San Francisco Bay Area, West Coast, Western US",,$50M to $100M,Closed,2014-04-14,day,,,,none,For Profit,https://synapsefi.com,https://www.facebook.com/Synapsefi-100871038550460/,https://www.linkedin.com/company/synapsepay/,hello@synapsefi.com,+1 (931) 279-6729,"SynapseFI is a banking platform that enables companies to provide financial products to their customers for a fraction of the cost of traditional banks. The company provides payment, deposit, lending. and investment products as APIs to FinTech companies who build and launch their financial innovations on top of their banking infrastructure. They help fintech companies work together to develop the technology. Founded in 2014, SynapseFI is headquartered in San Francisco, California.",,,,,,,,,,,,"Financial Services, Lending and Investments, Payments, Privacy and Security, Software",3,"Akl Fahed, Bryan Keltner, Sankaet Pathak",101-250,3,Early Stage Venture,2019-06-06,33000000,USD,33000000,Series B,33000000,USD,33000000,Series B,50700000,USD,50700000,50700000,USD,50700000,"Andreessen Horowitz, 500 Global, Trinity Ventures, Core Innovation Capital",3,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.6,13,,,,
Aira,https://www.crunchbase.com/organization/aira-01e3,,"CleanTech, Energy, Heating, Ventilation, and Air Conditioning (HVAC)","Stockholm, Stockholms Lan, Sweden",Aira operates as a clean energy-tech company that provides heat pumps and home energy-saving solutions.,"6,829","European Union (EU), Nordic Countries, Scandinavia",113 34,,Active,2022-01-01,year,,,,,For Profit,https://www.airahome.com,https://www.facebook.com/aira.at.home/,https://www.linkedin.com/company/airahome,,+46 0330 822 5493,"Aira operates as a clean energy-tech company that provides heat pumps and home energy-saving solutions. Aira aims to lower CO2 emissions from residential heating, reduce reliance on foreign gas, and decrease consumer energy bills. Aira speeds up the electrification of residential heating with smart clean energy technology, paving the way for the net zero future that consumers need.",,,,,,,,,,,,"Energy, Real Estate, Sustainability",1,Harald Mix,1001-5000,4,Early Stage Venture,2024-10-16,63000000,EUR,68410594,Series B,63000000,EUR,68410594,Series B,317791129,USD,317791129,535425143,USD,535425143,"Temasek Holdings, BNP Paribas, Collaborative Fund, Altor, Kinnevik",4,9,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,-2.2,10,,,,
Rentberry,https://www.crunchbase.com/organization/rentberry,,"Property Management, Real Estate, Rental, Residential","San Francisco, California, United States",Rentberry is a rental service platform that provides rental and price negotiation services to tenants and landlords.,"7,001","San Francisco Bay Area, West Coast, Western US",94105,$10M to $50M,Active,2015-08-28,day,,,,,For Profit,https://www.rentberry.com,https://www.facebook.com/pages/RentBerry/500779346720902,https://www.linkedin.com/company/rentberry,support@rentberry.com,+1 415-795-7171,"Rentberry is the first closed-loop platform that makes the long-term rental process transparent and efficient, eliminates the hassle of paper applications and helps properties get their true market price. Its patented technology allows tenants to submit custom offers and potentially save $87 bln on move-in costs that are currently blocked as rental security deposits. Rentberry has a solid track record which goes beyond a vision and a roadmap. Its product has already been established and proven to be a successful business within the long-term rental space.",,,,,,,,,,,,"Commerce and Shopping, Real Estate",2,"Lily Ostapchuk, Oleksiy Lubinsky",11-50,8,Early Stage Venture,2024-09-06,90000000,USD,90000000,Series A,90000000,USD,90000000,Series A,123967895,USD,123967895,123967895,USD,123967895,"GTM Capital, Angel Investors Marlborough, Sunmeet Jolly, 808 Ventures, Zing Capital",3,11,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.9,12,1,8,Computing; Calculating,Advertising; business
