Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Facebook,LinkedIn,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Lead Investments,Number of Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,Delisted Date,Delisted Date Precision,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Trend Score (90 Days),Similar Companies,Patents Granted,Trademarks Registered,Most Popular Patent Class,Most Popular Trademark Class
Planet,https://www.crunchbase.com/organization/planet-labs,,"Aerospace, Analytics, Big Data, Geospatial, Remote Sensing, Software","San Francisco, California, United States",Planet is an aerospace and data analytics company that builds small satellites and delivers information about the changing planet.,337,"San Francisco Bay Area, West Coast, Western US",,$100M to $500M,Active,2010-12-24,day,2021-12-08,day,,,For Profit,http://www.planet.com,https://www.facebook.com/PlanetLabs,http://www.linkedin.com/company/planet-labs,press@planet.com,415-655-9083,"Planet is a startup based in San Francisco and founded by former NASA employees that collects information about its changing planet via a fleet of compact, highly capable Earth-imaging satellites. The broad coverage and high frequency of Planet's satellite imagery will enable customers with unprecedented access to global and local insights that currently are either impossible or cost-prohibitive to obtain. It designs, builds, and operates the largest fleet of satellites, as well as online software, tools, and analytics needed to deliver data to users.  Planet offers a diverse selection of imagery and analytic solutions, all made available online through our platform and web-based tools. They provide geospatial insights at the speed of change, equipping users with the data necessary to make informed, timely decisions.",,,,,,,,,,,,"Data and Analytics, Hardware, Navigation and Mapping, Science and Engineering, Software",3,"Chris Boshuizen, Robbie Schingler, Will Marshall",501-1000,10,IPO,2021-12-08,200000000,USD,200000000,Post-IPO Equity,200000000,USD,200000000,Post-IPO Equity,548898658,USD,548898658,573898658,USD,573898658,"International Finance Corporation, BlackRock, Google, Founders Fund, DFJ Growth",5,35,5,Made Acquisitions,,,,,,,,,,,,Public,,,2021-12-08,345000000,USD,345000000,2800000000,USD,2800000000,PL,https://www.crunchbase.com/ipo/planet-labs-ipo--071a917c,NYSE - New York Stock Exchange,8,11,19,0,Electric Communication Technique,
Circus Group,https://www.crunchbase.com/organization/circuskitchens,,"Artificial Intelligence (AI), Manufacturing, Robotics","Hamburg, Hamburg, Germany",Disrupting food-service operations with the use of AI robotics and proprietary software solutions.,729,"European Union (EU), Europe, Middle East, and Africa (EMEA)",20457,,Active,2021-07-01,month,2023-12-22,day,,,For Profit,https://www.circus-group.com,,https://www.linkedin.com/company/circuskitchens,contact@circus-group.com,,Disrupting food-service operations with the use of AI robotics and proprietary software solutions.,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",3,"Carsten Wille, Helge Plehn, Nikolas Bullwinkel",51-100,4,IPO,2023-11-29,9000000,EUR,9876522,Venture - Series Unknown,9000000,EUR,9876522,Venture - Series Unknown,26900000,EUR,28967988,26900000,EUR,28967988,"BlackMars Capital, Verena Pausder, Lea-Sophie Cramer, 2bX, WestTech Ventures",2,6,2,Made Acquisitions,,,,,,,,,,,,Public,,,2023-12-22,,,,,,,CA1,https://www.crunchbase.com/ipo/circuskitchens-ipo--134266f7,MUN - Börse München,8.2,9,0,3,,Meats and prepared or preserved foods; dairy products
Jupiter,https://www.crunchbase.com/organization/amica-financial-technologies,,"Banking, Consulting, Finance, Financial Services, FinTech, Wealth Management","Mumbai, Maharashtra, India","Jupiter is a digital banking app that offers smart insights based on your spending, and provides features to make sense of your finances.",936,Asia-Pacific (APAC),400052,$10M to $50M,Active,2019-08-01,day,,,,,For Profit,https://www.jupiter.money,https://www.facebook.com/Jupiter-App-110524370493863,https://www.linkedin.com/company/jupiter-money,,+91 08655055086,"Jupiter is a digital banking app with one simple aim – to deliver a banking experience that keeps pace with you. We help you cut through the banking jargon, offer smart insights based on your spending, and provide you with a range of new-age features to enable you to make sense of your finances.",,,2,1,2,,,,Online,1990-01-01,32,"Financial Services, Lending and Investments, Professional Services",1,Jitendra Gupta,501-1000,6,,2024-06-20,2400000,USD,2400000,Venture - Series Unknown,2400000,USD,2400000,Venture - Series Unknown,157400000,USD,157400000,169484594,USD,169484594,"Titan Capital, QED Investors, 3one4 Capital, Z47, Peak XV Partners",8,26,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.7,39,,,,
Pico,https://www.crunchbase.com/organization/pico-quantitative-trading,,"Asset Management, Cloud Infrastructure, Communications Infrastructure, Financial Services, FinTech, Service Industry","New York, New York, United States",Pico is a provider of technology services for the global financial markets community.,"1,904","Greater New York Area, East Coast, Northeastern US",10005,$10M to $50M,Active,2009-11-01,month,,,,,For Profit,https://www.pico.net,,https://www.linkedin.com/company/pico-trading,info@pico.net,+1 (646) 362 4420,"Pico is a leading provider of technology services for the financial markets community. Pico provides a best-in-class portfolio of innovative, transparent, low-latency markets solutions coupled with an agile and expert service delivery model. Instant access to financial markets is provided via PicoNet™, a globally comprehensive network platform instrumented natively with Corvil analytics and telemetry. Clients choose Pico when they want the freedom to move fast and create an operational edge in the fast-paced world of financial markets.",,,,,,,,,,,,"Financial Services, Hardware, Internet Services, Other",1,Jarrod Yuster,251-500,5,Private Equity,2022-07-13,200000000,USD,200000000,Private Equity,200000000,USD,200000000,Private Equity,372400000,USD,372400000,372400000,USD,372400000,"Alumni Ventures, Goldman Sachs, Wells Fargo, JP Morgan, UBS",2,20,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.9,8,,,,
Ares Management,https://www.crunchbase.com/organization/ares-management,,"Asset Management, Credit, Finance, Financial Services, Insurance","Los Angeles, California, United States","Ares Management is an alternative asset manager focusing on credit, private equity, and real estate.","2,854","Greater Los Angeles Area, West Coast, Western US",90067,$1B to $10B,Active,1997-01-01,year,2014-05-02,day,,,For Profit,http://www.aresmgmt.com,https://www.facebook.com/aresmanagementlp,http://www.linkedin.com/company/ares-management,IRARES@aresmgmt.com,(310) 201-4100,"Ares Management is a publicly-traded global alternative asset manager with approximately $144 billion of assets under management. It believes each of its distinct but complementary investment groups in credit, private equity, and real estate is a market leader based on assets under management and investment performance.",Private Equity Firm,"Debt, Early Stage Venture, Late Stage Venture",105,67,118,8,36,16,,,,"Financial Services, Lending and Investments",4,"Antony Ressler, Bennett Rosenthal, David Kaplan, Michael Arougheti",1001-5000,4,IPO,2025-01-09,2300000000,USD,2300000000,Post-IPO Equity,2300000000,USD,2300000000,Post-IPO Equity,2657087500,USD,2657087500,3903087500,USD,3903087500,,,,40,Made Acquisitions,,,,,,,,,,,,Public,,,2014-05-02,215909084,USD,215909084,1528395530,USD,1528395530,ARES,https://www.crunchbase.com/ipo/ares-management-ipo--7c649340,NYSE - New York Stock Exchange,-1.9,19,0,47,,Insurance; financial affairs
Bridge,https://www.crunchbase.com/organization/bridge-05d0,,"Cryptocurrency, Developer Tools, Financial Services, FinTech, Software","San Antonio, Texas, United States",Bridge is developer of an application programming interface for money movement within the financial technology sector.,"3,167",Southern US,,,Closed,2022-01-01,year,2024-10-20,day,2024-10-21,day,For Profit,https://www.bridge.xyz,,https://www.linkedin.com/company/bridge-apis,support@bridge.xyz,1 (208) 820-8471,"Bridge is developer of an application programming interface for money movement within the financial technology sector. The company provides APIs that enable developers to convert various forms of currency into stablecoins and to facilitate instant, global transactions with built-in compliance and programmability features.",,,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Payments, Software",2,"Sean Yu, Zach Abrams",11-50,3,M&A,2024-08-29,58000000,USD,58000000,Series A,58000000,USD,58000000,Series A,58000000,USD,58000000,58000000,USD,58000000,"Sequoia Capital, Index Ventures, Haun Ventures, Ribbit Capital, Diogo Mónica",2,6,1,"Made Acquisitions, Was Acquired",Bridge acquired by Stripe,https://www.crunchbase.com/acquisition/stripe-acquires-bridge-05d0--bcb73117,Stripe,https://www.crunchbase.com/organization/stripe,2024-10-20,day,1100000000,USD,1100000000,Acquisition,,Private,,,,,,,,,,,,,-0.9,8,,,,
Alma,https://www.crunchbase.com/organization/alma-health,,"Health Care, Medical, Mental Health, Wellness","Brooklyn, New York, United States",Alma is a membership-based network for mental health care providers.,"3,428","Greater New York Area, East Coast, Northeastern US",11201,$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://helloalma.com,https://www.facebook.com/GrowWithAlma,https://www.linkedin.com/company/withalma,info@helloalma.com,+1 917-929-7661,"Alma is a membership-based network for mental health care providers that aims to improve access to high-quality, affordable mental health care. Its platform enables providers to accept insurance and also provides a member directory, client-matching service, scheduling, and billing functions, as well as education, training, and a community for support.",,,,,,,,,,,,Health Care,1,Harry Ritter,251-500,5,Late Stage Venture,2022-08-25,130000000,USD,130000000,Series D,130000000,USD,130000000,Series D,220500000,USD,220500000,220500000,USD,220500000,"Insight Partners, BoxGroup, Primary Venture Partners, First Round Capital, Thoma Bravo",4,13,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2.3,9,0,1,,Advertising; business
Keyless,https://www.crunchbase.com/organization/keyless-technologies-ltd,,"Biometrics, Cyber Security, Identity Management, Information Technology, Internet","London, England, United Kingdom",Keyless provides biometric authentication solutions that enhance security without storing data.,"3,470","Europe, Middle East, and Africa (EMEA)",EC2V 6DN,$1M to $10M,Active,2019-01-01,month,,,,,For Profit,https://keyless.io,https://www.facebook.com/KeylessTech,https://www.linkedin.com/company/keylesstech,info@keyless.io,,Keyless offers a passwordless multi-factor authentication system that uses biometric data to verify users while ensuring privacy by not storing any biometric information. The technology is designed to prevent account takeovers and improve user experience across multiple devices.,,,,,,,,,,,,"Biotechnology, Data and Analytics, Information Technology, Internet Services, Privacy and Security, Science and Engineering",2,"Andrea Carmignani, Fabian Eberle",11-50,9,,2025-01-22,2000000,USD,2000000,Venture - Series Unknown,2000000,USD,2000000,Venture - Series Unknown,18000000,USD,18000000,18000000,USD,18000000,"Ripple, P101, Primo Capital, gumi Cryptos Capital (gCC), Rialto Ventures",6,16,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-2.3,111,2,4,Electric Communication Technique,Scientific and technological services
Fido,https://www.crunchbase.com/organization/fido-3,,"Banking, Financial Services, FinTech","Accra, Greater Accra, Ghana",Fido provides access to digital financial services.,"3,750","Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://gh.fido.money/,https://www.facebook.com/fidocredit,https://www.linkedin.com/company/fido-money-lending-ltd-,info@fidobank.app,+233  030 278 7625,Fido builds technology that enables fast and secure access to digital financial services. Their financial platform and machine learning risk models make instant credit decisions for customers with no financial track record while reducing operational costs.,,,,,,,,,,,,"Financial Services, Lending and Investments",5,"Alon Eitan, Boaz Jacobi, Nadav Topolski, Nir Zepkowitz, Tomer Edry",101-250,6,Early Stage Venture,2024-09-04,10000000,USD,10000000,Debt Financing,20000000,USD,20000000,Series B,59000000,USD,59000000,69000000,USD,69000000,"Alumni Ventures, Fortissimo Capital, British International Investment, FMO, BlueOrchard Finance S A",4,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.5,14,,,,
Sunrise,https://www.crunchbase.com/organization/sunrise-cdf9,,"Health Care, Health Diagnostics, Home Health Care, Lifestyle, Medical Device, Wellness","Brussels, Brussels Hoofdstedelijk Gewest, Belgium","We are a virtual sleep clinic, using our own 3-gram sensor to diagnose sleep with gold standard quality.","3,803","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://hellosunrise.com/,https://www.facebook.com/sunrisesleep/,https://www.linkedin.com/company/hellosunrise/?originalSubdomain=be,hello@hellosunrise.com,,"Sunrise aims to bring simple answers to millions of people suffering from sleep disorders. We have developed a 3-gram sensor to diagnose sleep with gold standard quality. The technology offers a revolutionary new way to measure brain commands at night, with published clinical results never seen before. Studies demonstrate Sunrise is as accurate as in-lab sleep studies, at a fraction of the cost. Affecting one in three people, sleep disorders are extremely common. Sleep apnea is the most prevalent disease with almost 1 billion persons concerned. This condition leads to great body damage over time and yet remains undiagnosed in 80% of the cases. Patients, caregiver and insurers stand to benefit greatly from a solution to current highly cumbersome, expensive and time-consuming diagnostics systems.",,,,,,,,,,,,"Community and Lifestyle, Health Care",2,"Laurent Martinot, Pierre Martinot",11-50,3,Early Stage Venture,2023-03-09,17000000,EUR,17996293,Series A,17000000,EUR,17996293,Series A,24500000,EUR,26448235,24500000,EUR,26448235,"Kurma Partners, Amazon Alexa Fund, European Innovation Council, UI Investissement, Vives Louvain Technology Fund",1,12,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,1,10,,,,
